MedCodeId	Term	category
366561000006119	[X]Atypical depression	diagnosis
367061000006114	Psychosis and severe depression co-occurrent and due to bipolar affective disorder	diagnosis
376691000006116	Depression	diagnosis
376711000006118	[X]Depressive disorder NOS	diagnosis
376721000006114	Depressive episode	diagnosis
376741000006119	[X]Depressive neurosis	diagnosis
379431000006113	Dysthymia	diagnosis
379771000006116	[X]Endogenous depression with psychotic symptoms	diagnosis
379781000006118	[X]Endogenous depression without psychotic symptoms	diagnosis
396081000006116	[X]Major depression, recurrent without psychotic symptoms	recurrent_diag
396771000006117	[X] Manic-depressive psychosis, depressed type without psychotic symptoms	diagnosis
396781000006119	[X]Manic-depress psychosis,depressed type+psychotic symptoms	diagnosis
398351000006110	[X]Mild anxiety depression	diagnosis
398561000006117	[X]Mixed anxiety and depressive disorder	diagnosis
398841000006119	[X]Monopolar depression NOS	diagnosis
399841000006110	[X]Neurasthenia	diagnosis
399961000006118	Depressive neurosis	diagnosis
408521000000112	Depression monitoring first letter	review_invite
408541000000117	Depression monitoring second letter	review_invite
408561000000116	Depression monitoring third letter	review_invite
408581000000113	Depression monitoring verbal invitation	review_invite
408601000000116	Depression monitoring telephone invitation	review_invite
419841000006116	[X]Persistant anxiety depression	persistent_diag
423041000006119	[X]Post-schizophrenic depression	diagnosis
423611000006111	[X]Prolonged single episode of reactive depression	diagnosis
424531000006118	[X]Recurr depress disorder cur epi severe without psyc sympt	recurrent_diag
424541000006111	[X]Recurr severe episodes/major depression+psychotic symptom	recurrent_diag
424551000006113	[X]Recurr severe episodes/psychogenic depressive psychosis	recurrent_diag
424561000006110	[X]Recurrent brief depressive episodes	recurrent_diag
424571000006115	[X]Recurrent depress disorder cur epi severe with psyc symp	recurrent_diag
424631000006119	[X]Recurrent episodes of depressive reaction	recurrent_diag
424641000006112	[X]Recurrent episodes of psychogenic depression	recurrent_diag
424651000006114	[X]Recurrent episodes of reactive depression	recurrent_diag
424671000006116	[X]Recurrent severe episodes of psychotic depression	recurrent_diag
424681000006118	Recurrent reactive depressive episodes, severe, with psychosis	recurrent_diag
425411000006110	SAD - Seasonal affective disorder	diagnosis
425501000006113	Schizoaffective disorder, depressive type	diagnosis
425561000006114	[X]Schizoaffective psychosis, depressive type	diagnosis
425691000006119	[X]Schizophreniform psychosis, depressive type	diagnosis
425751000006115	[X]Seasonal depressive disorder	diagnosis
426891000006114	[X] Single episode agitated depression without psychotic symptoms	diagnosis
426911000006111	[X]Single episode of depressive reaction	diagnosis
426921000006115	[X]Single episode of major depression and psychotic symptoms	diagnosis
426931000006117	[X]Single episode of masked depression NOS	diagnosis
426941000006110	[X]Single episode of psychogenic depression	diagnosis
426951000006112	[X]Single episode of psychogenic depressive psychosis	diagnosis
426961000006114	[X]Single episode of psychotic depression	diagnosis
426971000006119	[X]Single episode of reactive depression	diagnosis
426981000006116	[X]Single episode of reactive depressive psychosis	diagnosis
426991000006118	[X]Single episode vital depression w'out psychotic symptoms	diagnosis
432511000006119	[X]Vital depression, recurrent without psychotic symptoms	recurrent_diag
474171000006112	Agitated depression	diagnosis
488211000006112	Mixed anxiety and depressive disorder	diagnosis
513721000006114	Bipolar affect disord, now depressed, severe with psychosis	diagnosis
513861000006113	Bipolar affective disorder, currently depressed, in full remission	remission
613781000006118	Depressive personality disorder	diagnosis
613791000006115	Depressive psychoses	diagnosis
642461000006116	Endogenous depression first episode	diagnosis
675861000006113	Reactive depression (situational)	diagnosis
677031000006115	Nervous exhaustion	diagnosis
677321000006115	Neurasthenia	diagnosis
882401000006115	Reactive (neurotic) depression	diagnosis
882421000006113	Depressive personality	diagnosis
882811000006119	Mild depression	diagnosis
882821000006110	Moderate depression	diagnosis
882831000006113	Severe depression	diagnosis
967791000006111	[X]Cotard syndrome	diagnosis
999901000006113	Excepted from depression quality indicators - patient unsuitable	qic_unsuitable
999911000006111	Excepted from depression quality indicators - informed dissent	qic_declined
1715181000006114	Moderate major depression	diagnosis
1715191000006112	Severe major depression with psychotic features	diagnosis
1715771000006112	Mild major depression	diagnosis
1715781000006110	Severe major depression without psychotic features	diagnosis
1755901000006112	[X]Single major depressive episode, severe, with psychosis, psychosis in remission	remission
1755911000006110	[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	remission
2724681000006112	Chronic major depressive disorder, single episode	chronic_diag
2729751000000118	Recurrent depression with current severe episode and psychotic features	recurrent_diag
2729991000000112	Recurrent depression with current severe episode without psychotic features	recurrent_diag
2730011000000110	Recurrent depression with current moderate episode	recurrent_diag
2798691000006112	Moderate recurrent major depression	recurrent_diag
2821731000006115	Severe major depression, single episode, with psychotic features, mood-incongruent	diagnosis
2914841000006115	Major depressive disorder, single episode with postpartum onset	diagnosis
2957311000006113	Severe recurrent major depression with psychotic features	recurrent_diag
2993091000006116	Major depression in partial remission	partial_remission
3033261000006113	Recurrent major depression in partial remission	partial_remission
3071791000006111	Depressive illness	diagnosis
3087971000006112	Severe recurrent major depression without psychotic features	recurrent_diag
3094951000006111	Major depressive disorder, single episode	diagnosis
3149661000006117	Mild recurrent major depression	recurrent_diag
3153071000006116	Recurrent brief depressive disorder	recurrent_diag
3190221000006112	Major depression in remission	remission
3192061000006110	Major depressive disorder, single episode with atypical features	diagnosis
3531371000006112	Major depression in complete remission	remission
3537261000006119	Major depressive disorder, single episode with melancholic features	diagnosis
3606411000006115	Recurrent major depression in remission	remission
3628471000006116	Major depressive disorder, single episode with catatonic features	diagnosis
3700911000006115	Psychotic depression	diagnosis
3743451000006110	Severe major depression, single episode, without psychotic features	diagnosis
3767531000006119	Severe major depression, single episode, with psychotic features, mood-congruent	diagnosis
5023901000006110	Post-schizophrenic depression	diagnosis
5024071000006118	Anxiety depression	diagnosis
5106051000006119	Mild postnatal depression	diagnosis
6000711000006112	Moderate depression	diagnosis
6201561000006118	Cotard's syndrome	diagnosis
6337491000006116	Major depressive disorder	diagnosis
6337501000006112	Major depression	diagnosis
7061221000006119	Premenstrual dysphoric disorder in remission	remission
7515151000006115	Depressive disorder in remission	remission
7803711000006118	Moderately severe major depression single episode	diagnosis
7803731000006112	Minimal major depression single episode	diagnosis
8089301000006110	Reactive depressive psychosis, single episode	diagnosis
8214741000006117	Depression monitoring invitation	review_invite
8232571000006118	Single major depressive episode, severe, with psychosis, psychosis in remission	remission
8232591000006117	Recurrent major depressive episodes, severe, with psychosis, psychosis in remission	remission
8237831000006115	Recurrent major depressive episodes, in partial remission	partial_remission
8237851000006110	Single major depressive episode, in remission	remission
8459471000006114	Depression monitoring invitation email	review_invite
8459491000006110	Depression monitoring invitation SMS (short message service) text message	review_invite
8465321000006112	Reactive depression, prolonged single episode	diagnosis
9901161000006119	Mild major depressive disorder co-occurrent with anxiety single episode	diagnosis
9901261000006114	Moderate major depressive disorder co-occurrent with anxiety single episode	diagnosis
9901281000006116	Severe major depressive disorder co-occurrent with anxiety single episode	diagnosis
12127531000006113	Recurrent mild major depressive disorder co-occurrent with anxiety	recurrent_diag
12127541000006115	Recurrent severe major depressive disorder co-occurrent with anxiety	recurrent_diag
12127551000006118	Recurrent moderate major depressive disorder co-occurrent with anxiety	recurrent_diag
12127561000006116	Recurrent major depressive disorder co-occurrent with anxiety in full remission	remission
12127571000006111	Recurrent major depressive disorder in partial remission co-occurrent with anxiety	partial_remission
12626331000006116	QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation	review_invite
12734331000006115	QOF (Quality and Outcomes Framework) depression quality indicator-related care invitation using preferred method of communication	review_invite
13716011000006116	Depressive disorder caused by amphetamine	diagnosis
13902421000006110	Antenatal depression	diagnosis
13962531000006113	Follow up for depression	review
14013791000006119	Depressive disorder caused by methamphetamine	diagnosis
14452211000006113	Treatment resistant depression	trd_diag
14452261000006111	Persistent depressive disorder	persistent_diag
15048961000006116	Postmenopausal depression	diagnosis
882671000006112	Depression	diagnosis
882681000006110	Depression NOS	diagnosis
251629019	H/O: depression	history
294655014	Arteriosclerotic dementia with depression	diagnosis
295494011	Brief depressive reaction NOS	diagnosis
295536013	Postviral depression	diagnosis
1231868010	Puerperal depression	diagnosis
2474715017	On depression register	admin
2474716016	Removed from depression register	admin
223651000000118	Postpartum depression	diagnosis
300711000000119	Referral for guided self-help for depression	support
376701000006116	[X]Depressive conduct disorder	diagnosis
423131000006113	[X]Postnatal depression NOS	diagnosis
423141000006115	[X]Postpartum depression NOS	diagnosis
525921000006119	Brief depressive adjustment reaction	diagnosis
226411000000110	Depression enhanced services administration	admin
226581000000119	Depression enhanced service completed	admin
376751000006117	Depressive personality disorder	diagnosis
406881000000111	Depression monitoring administration	admin
1680571000006118	On full dose long term treatment depression - enh serv admin	admin
1785881000006119	Antenatal depression	diagnosis
909681000006110	[RFC] Depression	diagnosis
1823881000006110	Depression confirmed	diagnosis
1222477019	[D]Postoperative depression	diagnosis
13974501000006115	Depressive episode	diagnosis
14357561000006116	Digital cognitive behavioural therapy for depression	support
14357571000006111	Digital CBT (cognitive behavioural therapy) for depression	support
1488771018	Postnatal depression counselling	support
1972111000006114	Organic depressive disorder	diagnosis
1975981000006114	Mild depressive episode, without somatic syndrome	diagnosis
1975991000006112	Mild depressive episode, with somatic syndrome	diagnosis
1976021000006115	Moderate depressive episode, without somatic syndrome	diagnosis
1976051000006112	Moderate depressive episode, with somatic syndrome	diagnosis
1976211000006116	Recurrent depressive disorder, current episode mild, without somatic syndrome	recurrent_diag
1976231000006110	Recurrent depressive disorder, current episode mild, with somatic syndrome	recurrent_diag
1976251000006115	Recurrent depressive disorder, current episode moderate, without somatic syndrome	recurrent_diag
1976271000006113	Recurrent depressive disorder, current episode moderate, with somatic syndrome	recurrent_diag
1976411000006115	Other recurrent mood affective disorders, recurrent brief depressive disorder	recurrent_diag
1976491000006113	Mixed anxiety and depressive reaction	diagnosis
2370061000000111	Referral for depression self-help video	support
2391541000000115	Referral for guided self-help for depression declined	support
2620391000000111	Maternal postnatal depression	diagnosis
2659601000000116	Signposting to depression self-help group	support
294081000000110	Exception reporting - depression quality indicators	admin
294690018	Drug-induced depressive state	diagnosis
3578861000006116	Recurrent major depressive disorder	recurrent_diag
4539971000006110	History of depression	history
5106061000006117	Severe postnatal depression	diagnosis
5359021000006116	Depression	diagnosis
681801000000113	On full dose long term treatment for depression	history
7127661000006118	Major depressive disorder, single episode, severe with psychotic features	diagnosis
7788661000006119	Moderately severe depression	diagnosis
8100481000006111	History of postnatal depression	history
8308801000006112	Did not attend depression review	review
853871000006111	Post natal depression	diagnosis
908731000006114	[RFC] Postnatal depression	diagnosis
2540711000006115	Chronic recurrent major depressive disorder	chronic_diag
3140411000006112	Recurrent major depressive disorder with catatonic features	recurrent_diag
3286331000006115	Minor depressive disorder	diagnosis
3578851000006118	Recurrent major depression	recurrent_diag
5024511000006118	Depressive conduct disorder	diagnosis
7382291000006112	Severe major depression	diagnosis
7695931000006118	Acute depression	diagnosis
7965191000006118	Severe recurrent major depression	recurrent_diag
8465361000006118	Reactive depression, first episode	diagnosis
13974511000006117	Episode of depression	diagnosis
